Code,Date,Gatherings limited to,Business suspended,Schools and universities closed,General curfew,Healthcare specialisation,Minor distancing and hygiene measures,Phone line,Mask wearing,Asymptomatic contact isolation
LT,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
GR,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MD,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MT,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MC,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NL,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IS,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MK,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IE,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
VA,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
KZ,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
PL,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
TR,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
UA,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SK,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
RS,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NO,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ME,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IR,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
LI,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
RU,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MX,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
EG,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NP,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IQ,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ZA,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NA,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MA,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
UG,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AR,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
BR,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IN,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
JO,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
KE,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MY,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NZ,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
PK,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
LK,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AE,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
US,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AT,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
DE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
GB,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
KR,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SG,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IL,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
JP,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SM,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SI,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CA,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CN-HK,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
TW,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CN,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
IT,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CZ,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
