Code,Date,EstimatedInfectous
JE,2020-03-30 00:00:00,540
JM,2020-03-25 00:00:00,270
JM,2020-03-27 00:00:00,270
JM,2020-03-30 00:00:00,280
JM,2020-03-31 00:00:00,710
JM,2020-04-02 00:00:00,581
JO,2020-03-24 00:00:00,1120
JO,2020-03-25 00:00:00,1540
JO,2020-03-27 00:00:00,1540
JO,2020-03-30 00:00:00,2120
JO,2020-03-31 00:00:00,5824
JO,2020-04-02 00:00:00,2261
JP,2020-03-24 00:00:00,11280
JP,2020-03-25 00:00:00,10598
JP,2020-03-27 00:00:00,10598
JP,2020-03-30 00:00:00,14742
JP,2020-03-31 00:00:00,30000
JP,2020-04-02 00:00:00,30000
KE,2020-03-25 00:00:00,500
KE,2020-03-27 00:00:00,500
KE,2020-03-30 00:00:00,715
KE,2020-03-31 00:00:00,2000
KE,2020-04-02 00:00:00,2000
KG,2020-03-25 00:00:00,840
KG,2020-03-27 00:00:00,840
KG,2020-03-30 00:00:00,1160
KG,2020-03-31 00:00:00,4000
KG,2020-04-02 00:00:00,3000
KH,2020-03-24 00:00:00,860
KH,2020-03-25 00:00:00,930
KH,2020-03-27 00:00:00,930
KH,2020-03-30 00:00:00,980
KH,2020-03-31 00:00:00,1960
KH,2020-04-02 00:00:00,1100
KR,2020-03-24 00:00:00,26883
KR,2020-03-25 00:00:00,18274
KR,2020-03-27 00:00:00,18274
KR,2020-03-30 00:00:00,9332
KR,2020-03-31 00:00:00,9767
KR,2020-04-02 00:00:00,6793
KW,2020-03-24 00:00:00,1890
KW,2020-03-25 00:00:00,1910
KW,2020-03-27 00:00:00,1910
KW,2020-03-30 00:00:00,2250
KW,2020-03-31 00:00:00,2000
KW,2020-04-02 00:00:00,2000
KZ,2020-03-24 00:00:00,620
KZ,2020-03-25 00:00:00,1440
KZ,2020-03-27 00:00:00,1440
KZ,2020-03-30 00:00:00,2740
KZ,2020-03-31 00:00:00,5500
KZ,2020-04-02 00:00:00,5500
LA,2020-03-25 00:00:00,40
LA,2020-03-27 00:00:00,40
LA,2020-03-30 00:00:00,80
LB,2020-03-24 00:00:00,2560
LB,2020-03-25 00:00:00,3040
LB,2020-03-27 00:00:00,3040
LB,2020-03-30 00:00:00,3910
LB,2020-03-31 00:00:00,4252
LB,2020-04-02 00:00:00,4673
LC,2020-03-30 00:00:00,50
LC,2020-03-31 00:00:00,100
LC,2020-04-02 00:00:00,100
LI,2020-03-30 00:00:00,1120
